date,merchant,amount
2025-01-02,PG&E Electricity,145.60
2025-01-03,Walmart Supercenter,84.20
2025-01-04,BlueCross Insurance,220.00
2025-01-05,Shell Gas Station,42.50
2025-01-06,LinkedIn Learning,39.99
2025-01-07,Starbucks,6.75
2025-01-09,Amazon,128.40
2025-01-11,Netflix,15.49
2025-01-13,Trader Joe's,68.10
2025-01-15,Uber Ride,18.75
2025-01-17,Coursera,49.00
2025-01-19,Chipotle,12.95
2025-01-21,Nike Store,130.00
2025-02-02,PG&E Electricity,147.10
2025-02-03,Target,79.80
2025-02-05,BlueCross Insurance,220.00
2025-02-07,Shell Gas Station,44.20
2025-02-08,LinkedIn Learning,39.99
2025-02-10,Starbucks,6.50
2025-02-12,Amazon,119.60
2025-02-14,Netflix,15.49
2025-02-16,Trader Joe's,72.40
2025-02-18,Uber Ride,17.80
2025-02-20,Coursera,49.00
2025-02-22,Chipotle,13.50
2025-02-25,Nike Store,125.00
2025-03-01,Apple Store,1899.00
2025-03-02,PG&E Electricity,148.30
2025-03-03,Walmart Supercenter,82.10
2025-03-05,BlueCross Insurance,220.00
2025-03-06,Shell Gas Station,45.10
2025-03-07,LinkedIn Learning,39.99
2025-03-09,Dunkin,5.90
2025-03-11,Amazon,121.30
2025-03-13,Netflix,15.49
2025-03-15,Trader Joe's,70.50
2025-03-17,Uber Ride,18.25
2025-03-20,Coursera,49.00
2025-03-22,Chipotle,12.75
2025-03-24,Nike Store,132.00
2025-03-28,Trader Joe's,4.20
